No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
83,NG,NovaGold Resources Inc.,1790148923,5.36,0.37%,
84,SIMO,Silicon Motion Technology Corporation,1787624623,53.51,-3.20%,945921000
85,DBRG,"DigitalBridge Group, Inc.",1785591462,11.03,0.82%,1137273000
86,IONQ,"IonQ, Inc.",1784951040,8.88,-2.31%,13463000
87,CWK,Cushman & Wakefield plc,1784707320,7.86,-3.08%,10024000000
88,GOOS,Canada Goose Holdings Inc.,1773661102,17.00,-7.10%,881884058
89,CAKE,The Cheesecake Factory Incorporated,1771595700,34.50,-1.54%,3375560000
90,UPBD,"Upbound Group, Inc.",1771071084,31.78,-3.23%,4101732000
91,VCYT,"Veracyte, Inc.",1766255508,24.39,-0.81%,311175000
92,ESTA,Establishment Labs Holdings Inc.,1766127836,68.62,-1.05%,169772000
93,FORG,"ForgeRock, Inc.",1765254362,19.94,0.50%,232563000
94,RCKT,"Rocket Pharmaceuticals, Inc.",1763711608,21.92,2.96%,
95,CVII,Churchill Capital Corp VII,1762087439,10.22,-0.15%,
96,SNEX,StoneX Group Inc.,1761779427,84.93,0.70%,64484500000
97,COHU,"Cohu, Inc.",1760626024,37.04,-1.41%,794389000
98,ZETA,Zeta Global Holdings Corp.,1760083085,8.29,0.48%,622295000
99,KTOS,"Kratos Defense & Security Solutions, Inc.",1758369340,13.78,-2.68%,933900000
100,SLVM,Sylvamo Corporation,1755310492,41.24,-0.15%,3766000000
101,SOVO,"Sovos Brands, Inc.",1752222060,17.31,-1.98%,921229000
102,WGO,"Winnebago Industries, Inc.",1752092508,57.34,-1.88%,4456159000
103,ARCO,Arcos Dorados Holdings Inc.,1751499085,9.01,-1.31%,3819013000
104,EAT,"Brinker International, Inc.",1751495472,39.54,-2.56%,4079200000
105,WMK,"Weis Markets, Inc.",1750009904,65.06,1.43%,4736849000
106,MRTN,"Marten Transport, Ltd.",1745712127,21.49,0.94%,1274620000
107,AGYS,"Agilysys, Inc.",1739141314,68.99,-0.78%,198065000
108,ROCK,"Gibraltar Industries, Inc.",1738287044,57.16,0.58%,1365368000
109,WAFD,"Washington Federal, Inc.",1737572002,26.41,-0.68%,730330000
110,TRN,"Trinity Industries, Inc.",1736590826,21.40,0.14%,2146300000
111,MIR,"Mirion Technologies, Inc.",1734721731,7.66,-1.03%,736700000
112,HLIO,"Helios Technologies, Inc.",1728879200,52.96,0.47%,858053000
113,ULCC,"Frontier Group Holdings, Inc.",1721913897,7.88,-1.99%,3569000000
114,SBCF,Seacoast Banking Corporation of Florida,1720953081,20.34,-2.91%,442730000
115,RAMP,"LiveRamp Holdings, Inc.",1718753244,26.52,0.65%,589682000
116,ERO,Ero Copper Corp.,1717709440,18.56,0.22%,418437000
117,SAFE,Safehold Inc.,1717463318,26.86,-0.52%,204427000
118,PEB,Pebblebrook Hotel Trust,1717440300,13.95,-0.64%,1439542000
119,FGEN,"FibroGen, Inc.",1714522768,17.57,-0.40%,116069000
120,MCY,Mercury General Corporation,1710413279,30.89,-0.55%,3944184000
121,LILAK,Liberty Latin America Ltd.,1709242253,8.07,4.13%,4704100000
122,CLM,"Cornerstone Strategic Value Fund, Inc.",1709141280,7.86,0.64%,
123,TBBK,"The Bancorp, Inc.",1709106250,31.25,-1.67%,383860000
124,CRGY,Crescent Energy Company,1705141490,10.21,-1.54%,3048292000
125,AG,First Majestic Silver Corp.,1701850400,6.20,0.65%,624335000
126,SAVE,"Spirit Airlines, Inc.",1701819990,15.59,-1.20%,5450906000
127,DRH,DiamondRock Hospitality Company,1699290835,8.10,-1.58%,1048223000
128,JBGS,JBG SMITH Properties,1691719920,15.18,0.46%,596821000
129,TOWN,TowneBank,1689835914,22.59,-1.48%,698403000
130,ABCL,AbCellera Biologics Inc.,1686171520,5.84,-0.17%,181037000
131,RLJ,RLJ Lodging Trust,1682215500,10.57,-0.94%,1265266000
132,GTY,Getty Realty Corp.,1681792528,33.98,-0.50%,169897000
133,GVA,Granite Construction Incorporated,1679565230,37.10,-0.91%,3125222000
134,AUR,"Aurora Innovation, Inc.",1676182180,1.42,-4.70%,26002000
135,SPWR,SunPower Corporation,1674395987,9.57,-8.86%,1831673000
136,CTOS,"Custom Truck One Source, Inc.",1673384800,6.80,0.15%,1658773000
137,ODP,The ODP Corporation,1671363474,41.62,0.24%,8420000000
138,KAR,"KAR Auction Services, Inc.",1669805610,15.29,-1.10%,1570600000
139,VRE,"Veris Residential, Inc.",1667661974,16.54,0.36%,324310000
140,NOVA,Sunnova Energy International Inc.,1667598600,14.34,-6.27%,653664000
141,UE,Urban Edge Properties,1666231200,13.60,-1.66%,397178000
142,RDNT,"RadNet, Inc.",1665775445,28.55,1.53%,1478859000
143,BORR,Borr Drilling Limited,1664451960,7.27,2.39%,443800000
144,FLNG,FLEX LNG Ltd.,1663608279,30.99,0.68%,365824000
145,SXI,Standex International Corporation,1663045244,139.72,-1.29%,737460000
146,XNCR,"Xencor, Inc.",1657727460,27.45,5.37%,98046000
